cat1,cat2,latin,french,notes1,notes2,notes3,notes4,Broad_Category,Specific_Category
1,1,aestimare,estimer,,,,,verbe,1er groupe
1,1,amare,aimer,,,,,verbe,1er groupe
1,1,ambulare,marcher,,,,,verbe,1er groupe
1,1,appropinquare,s'approcher,,,,,verbe,1er groupe
1,1,balare,bêler,ovis balat ,,,,verbe,1er groupe
1,1,cantare,chanter,,,,,verbe,1er groupe
1,1,captare,capturer,,,,,verbe,1er groupe
1,1,celare,cacher,,,,,verbe,1er groupe
1,1,clamare,crier,,,,,verbe,1er groupe
1,1,declinare,décliner,,,,,verbe,1er groupe
1,1,delectare,ravir,,,,,verbe,1er groupe
1,1,enumerare,compter,,,,,verbe,1er groupe
1,1,errare,se tromper,,,,,verbe,1er groupe
1,1,excitare,réveiller,,,,,verbe,1er groupe
1,1,exclamare,exclamer,,,,,verbe,1er groupe
1,1,exspectare,attendre,,,,,verbe,1er groupe
1,1,gustare,goûter,,,,,verbe,1er groupe
1,1,habitare,habiter,,,,,verbe,1er groupe
1,1,interrogare,questionner,,,,,verbe,1er groupe
1,1,intrare,entrer,,,,,verbe,1er groupe
1,1,lacrimare,pleurer,,,,,verbe,1er groupe
1,1,latrare,aboyer,,,,,verbe,1er groupe
1,1,lavare,laver,,,,,verbe,1er groupe
1,1,laudare,faire l'éloge,,,,,verbe,1er groupe
1,1,monstrare,montrer,,,,,verbe,1er groupe
1,1,narrare,conter,,,,,verbe,1er groupe
1,1,natare,nager,,,,,verbe,1er groupe
1,1,numerare,compter,,,,,verbe,1er groupe
1,1,occultare,se cacher,,,,,verbe,1er groupe
1,1,ornare,décorer,,,,,verbe,1er groupe
1,1,perflare,souffler à travers,,,,,verbe,1er groupe
1,1,plorare,pleurer,,,,,verbe,1er groupe
1,1,portare,porter,,,,,verbe,1er groupe
1,1,pugnare,se battre,,,,,verbe,1er groupe
1,1,pulsare,cogner,,,,,verbe,1er groupe
1,1,recitare,réciter,,,,,verbe,1er groupe
1,1,rogare,demander,,,,,verbe,1er groupe
1,1,saltare,danser,,,,,verbe,1er groupe
1,1,sanare,guérir,,,,,verbe,1er groupe
1,1,servare,sauver,,,,,verbe,1er groupe
1,1,spirare,respirer,,,,,verbe,1er groupe
1,1,stare,se tenir debout ,,,,,verbe,1er groupe
1,1,ulurare,hurler,lupus ululat ,,,,verbe,1er groupe
1,1,verberare,battre,,,,,verbe,1er groupe
1,1,vocare,appeler,,,,,verbe,1er groupe
1,1,volare,voler,avis volat,,,,verbe,1er groupe
1,2,audere,risquer,,,,,verbe,2eme groupe
1,2,contorquere,lancer,,,,,verbe,2eme groupe
1,2,debere,devoir,,,,,verbe,2eme groupe
1,2,delere,effacer,,,,,verbe,2eme groupe
1,2,docere,enseigner,,,,,verbe,2eme groupe
1,2,gaudere,se réjouir,,,,,verbe,2eme groupe
1,2,habere,avoir,,,,,verbe,2eme groupe
1,2,iacere,se coucher,,,,,verbe,2eme groupe
1,2,implere,remplir,,,,,verbe,2eme groupe
1,2,iubere,ordonner,,,,,verbe,2eme groupe
1,2,licere,permettre,,,,,verbe,2eme groupe
1,2,lucere,briller,,,,,verbe,2eme groupe
1,2,monere,avertir,,,,,verbe,2eme groupe
1,2,movere,bouger,,,,,verbe,2eme groupe
1,2,olere,sentir,,,,,verbe,2eme groupe
1,2,parere,obéir,,,,,verbe,2eme groupe
1,2,perterrere,effrayer,,,,,verbe,2eme groupe
1,2,placere,plaire,,,,,verbe,2eme groupe
1,2,respondere,répondre,,,,,verbe,2eme groupe
1,2,ridere,rire,,,,,verbe,2eme groupe
1,2,salvere,être en bonne santé,,,,,verbe,2eme groupe
1,2,sedere,s'asseoir ,,,,,verbe,2eme groupe
1,2,solere,avoir l'habitude de,,,,,verbe,2eme groupe
1,2,studere,étudier,,,,,verbe,2eme groupe
1,2,sustinere,soutenir,,,,,verbe,2eme groupe
1,2,tacere,se taire ,,,,,verbe,2eme groupe
1,2,tenere,tenir,,,,,verbe,2eme groupe
1,2,timere,craindre,,,,,verbe,2eme groupe
1,2,valere,être en bonne santé,,,,,verbe,2eme groupe
1,2,videre,voir,,,,,verbe,2eme groupe
1,3,accurrere,accourir,,,,,verbe,3eme groupe
1,3,agere,agir,,,,,verbe,3eme groupe
1,3,ascendere,monter,,,,,verbe,3eme groupe
1,3,bibere,boire,,,,,verbe,3eme groupe
1,3,carpere,cueillir,,,,,verbe,3eme groupe
1,3,claudere,fermer,,,,,verbe,3eme groupe
1,3,colligere,collecter,,,,,verbe,3eme groupe
1,3,comedere,manger,,,,,verbe,3eme groupe
1,3,concupiscere,désirer,,,,,verbe,3eme groupe
1,3,condere,construire,,,,,verbe,3eme groupe
1,3,construere,construire,,,,,verbe,3eme groupe
1,3,currere,courrir,,,,,verbe,3eme groupe
1,3,descendere,descendre,,,,,verbe,3eme groupe
1,3,discere,apprendre,,,,,verbe,3eme groupe
1,3,discedere,se retirer,,,,,verbe,3eme groupe
1,3,emere,vendre,,,,,verbe,3eme groupe
1,3,facere,faire   ,,,,,verbe,3eme groupe
1,3,fluere,couler ,,,,,verbe,3eme groupe
1,3,legere,lire,,,,,verbe,3eme groupe
1,3,iacere,lancer,,,,,verbe,3eme groupe
1,3,interficere,tuer,,,,,verbe,3eme groupe
1,3,gerere,porter,,,,,verbe,3eme groupe
1,3,mittere,envoyer,,,,,verbe,3eme groupe
1,3,parere,mettre au monde,,,,,verbe,3eme groupe
1,3,ponere,mettre   ,,,,,verbe,3eme groupe
1,3,regere,gouverner,,,,,verbe,3eme groupe
1,3,sumere,prendre,,,,,verbe,3eme groupe
1,3,tergere,sécher,,,,,verbe,3eme groupe
1,3,tradere,échanger,,,,,verbe,3eme groupe
1,3,vehere,transporter,,,,,verbe,3eme groupe
1,3,vertere,tourner,,,,,verbe,3eme groupe
1,3,visere,visiter,,,,,verbe,3eme groupe
1,4,aperire,ouvrir,,,,,verbe,4eme groupe
1,4,audire,entendre,,,,,verbe,4eme groupe
1,4,convenire,rencontrer,,,,,verbe,4eme groupe
1,4,dormire,dormir,,,,,verbe,4eme groupe
1,4,esurire,avoir faim ,,,,,verbe,4eme groupe
1,4,exhaurire,vider,,,,,verbe,4eme groupe
